trial_index_1based,block,trial_in_block,attend_side,condition,analysis_start_s,analysis_end_s,analysis_duration_s,n_selected_channels,selected_channels,cca_rho_9hz,cca_rho_14hz,cca_margin_9_minus_14,predicted_side_cca,prediction_correct_cca,ref_9hz_harmonics_used,ref_14hz_harmonics_used
26,3,6,right,right_14hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.20261428807914636,0.2599514550855596,-0.05733716700641325,right,True,"9,18,27","14,28,42"
27,3,7,left,left_9hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.37504644280180155,0.07101308159319292,0.30403336120860863,left,True,"9,18,27","14,28,42"
28,3,8,right,right_14hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.17993296735221095,0.27939939260237456,-0.09946642525016361,right,True,"9,18,27","14,28,42"
29,3,9,right,right_14hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.18298920932082866,0.21990332381303077,-0.03691411449220211,right,True,"9,18,27","14,28,42"
30,3,10,left,left_9hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.4004986610507421,0.08406553864036828,0.3164331224103738,left,True,"9,18,27","14,28,42"
31,4,1,left,left_9hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.4920059559300048,0.06601545076354935,0.4259905051664554,left,True,"9,18,27","14,28,42"
32,4,2,right,right_14hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.19771153974160857,0.28328069501613784,-0.08556915527452927,right,True,"9,18,27","14,28,42"
33,4,3,left,left_9hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.33753286663547155,0.07138372786999006,0.2661491387654815,left,True,"9,18,27","14,28,42"
34,4,4,right,right_14hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.23692668373919817,0.2590354329445772,-0.02210874920537903,right,True,"9,18,27","14,28,42"
35,4,5,right,right_14hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.1615933528913944,0.20139720960205962,-0.03980385671066522,right,True,"9,18,27","14,28,42"
36,4,6,left,left_9hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.33318033261924845,0.06734582188448443,0.26583451073476405,left,True,"9,18,27","14,28,42"
37,4,7,left,left_9hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.37329040077031567,0.0855056287373683,0.2877847720329474,left,True,"9,18,27","14,28,42"
38,4,8,right,right_14hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.23658821001206698,0.3044728257693988,-0.06788461575733185,right,True,"9,18,27","14,28,42"
39,4,9,left,left_9hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.3604708780788484,0.08085573330086966,0.2796151447779788,left,True,"9,18,27","14,28,42"
40,4,10,right,right_14hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.13500518538919767,0.3193151260607593,-0.18430994067156162,right,True,"9,18,27","14,28,42"
