condition,n_trials,mean_cca_rho_9hz,median_cca_rho_9hz,mean_cca_rho_14hz,median_cca_rho_14hz,mean_cca_margin_9_minus_14,median_cca_margin_9_minus_14,cca_prediction_accuracy
left_9hz,20,0.3992648169601785,0.39760472393194013,0.07424749204770223,0.072366648830432,0.3250173249124763,0.31519718362623406,1.0
right_14hz,20,0.18074177510655604,0.1792217757493147,0.2873987714278453,0.28244721572973,-0.10665699632128929,-0.08856885522411814,1.0
