channel_name,condition,frequency_checked_hz,mean_snr_db,median_snr_db,n
O1,left_9hz,9.0,2.988799040431798,3.5279130620293495,20
O1,left_9hz,14.0,-1.316705167867032,-0.5494586330294471,20
O1,right_14hz,9.0,0.020226101020399324,0.34328142363638353,20
O1,right_14hz,14.0,0.9805473088257454,0.2886088769742491,20
O2,left_9hz,9.0,3.5306004384397314,3.470540438320573,20
O2,left_9hz,14.0,-0.9664192711180453,-0.8844137375567332,20
O2,right_14hz,9.0,1.1733589800208357,1.2782414988609059,20
O2,right_14hz,14.0,4.1541858258004885,5.17954964297121,20
Oz,left_9hz,9.0,3.1366178649211687,3.5238692134069076,20
Oz,left_9hz,14.0,-1.054415684208466,-0.917147371895056,20
Oz,right_14hz,9.0,0.5340187121696102,0.40732228836976114,20
Oz,right_14hz,14.0,4.9680257512773265,5.639865330675438,20
P2,left_9hz,9.0,-0.19790306058046087,-0.3740645892795782,20
P2,left_9hz,14.0,-0.9305666764842137,-1.2318552221563737,20
P2,right_14hz,9.0,0.4855372852229742,0.8019196063993317,20
P2,right_14hz,14.0,-1.2394306339306056,-0.8555310074217544,20
P4,left_9hz,9.0,0.10031084963136502,-0.1860689208818342,20
P4,left_9hz,14.0,-0.5902038445280177,-0.09024299039105566,20
P4,right_14hz,9.0,0.020064037187041594,0.44815005627691473,20
P4,right_14hz,14.0,-0.8562186581616185,-0.1338454745911438,20
P5,left_9hz,9.0,1.6321298637539658,1.7366261122811317,20
P5,left_9hz,14.0,-1.8068329659201212,-1.9366337417473642,20
P5,right_14hz,9.0,0.06721072749299734,0.5148943937091492,20
P5,right_14hz,14.0,-0.4652147648355614,-0.09595801807271426,20
P6,left_9hz,9.0,1.01821795941173,0.9366733572755265,20
P6,left_9hz,14.0,-0.7615516876498948,-0.8231060165211106,20
P6,right_14hz,9.0,-0.10517704100781615,0.08901162054938044,20
P6,right_14hz,14.0,0.2727733254052776,0.4788723708856063,20
P8,left_9hz,9.0,1.6776274289972601,1.096959661019765,20
P8,left_9hz,14.0,-0.8524922968781603,-1.1476207210636604,20
P8,right_14hz,9.0,-0.06018459209308791,0.7612732576710972,20
P8,right_14hz,14.0,0.8741010744937225,0.8757517265761622,20
PO3,left_9hz,9.0,1.4498692564494768,1.4133018338889474,20
PO3,left_9hz,14.0,-1.3240117230007962,-0.6860521166964851,20
PO3,right_14hz,9.0,-0.5343100142150247,-0.11831911027463277,20
PO3,right_14hz,14.0,-0.6741297080616714,-1.014246210563207,20
PO4,left_9hz,9.0,1.3336142272267157,1.5205335253038363,20
PO4,left_9hz,14.0,-1.014051093097291,-0.7434916751646407,20
PO4,right_14hz,9.0,0.503910731524065,0.39520826294178074,20
PO4,right_14hz,14.0,1.163958815603032,1.0457719502224643,20
PO7,left_9hz,9.0,3.511862106460228,3.920427981693021,20
PO7,left_9hz,14.0,-1.1238041809792167,-0.9511123630113707,20
PO7,right_14hz,9.0,0.21700703736277824,0.8629986927593207,20
PO7,right_14hz,14.0,0.2804240764668467,0.19163689998521352,20
PO8,left_9hz,9.0,2.855660749763099,2.7134944097380154,20
PO8,left_9hz,14.0,-0.8523757312388351,-0.7805442178406069,20
PO8,right_14hz,9.0,0.9365137320350053,1.2612440861895406,20
PO8,right_14hz,14.0,1.8981874304032753,1.869433291872957,20
POz,left_9hz,9.0,0.20359766390659395,0.0705376084382141,20
POz,left_9hz,14.0,-1.0673566231032723,-0.5260216536708593,20
POz,right_14hz,9.0,-0.27637049777882006,-0.38650473786501494,20
POz,right_14hz,14.0,-0.5125837405542872,-0.6194898394876381,20
