trial_index_1based,block,trial_in_block,attend_side,condition,target_freq_hz,non_target_freq_hz,analysis_start_s,analysis_end_s,analysis_duration_s,n_selected_channels,selected_channels,mean_snr_9hz_db,mean_snr_14hz_db,mean_target_snr_db,mean_non_target_snr_db,target_minus_nontarget_snr_db,mean_target_second_harmonic_snr_db,mean_nontarget_second_harmonic_snr_db,predicted_side_from_9_vs_14,prediction_correct
19,2,9,left,left_9hz,9.0,14.0,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",-0.28830723287846294,-0.344725149445798,-0.28830723287846294,-0.344725149445798,0.05641791656733508,2.202019725020771,-0.3977493655035556,left,True
20,2,10,left,left_9hz,9.0,14.0,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",3.4260365316890176,1.3167651665078735,3.4260365316890176,1.3167651665078735,2.109271365181144,2.8523887069796023,-1.4780141499571173,left,True
21,3,1,left,left_9hz,9.0,14.0,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",3.8405823124923426,-0.6097013896933615,3.8405823124923426,-0.6097013896933615,4.450283702185704,0.5539167488993507,-3.10374963631775,left,True
22,3,2,left,left_9hz,9.0,14.0,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",-1.2263299968350818,-2.696911626944202,-1.2263299968350818,-2.696911626944202,1.4705816301091201,4.12009498419965,-3.033983313098261,left,True
23,3,3,right,right_14hz,14.0,9.0,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",-1.2580464353351295,-0.3357306462016962,-0.3357306462016962,-1.2580464353351295,0.9223157891334333,7.1906800233861325,1.0396782119049839,right,True
24,3,4,left,left_9hz,9.0,14.0,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.5167714024280662,-1.2053604565844231,0.5167714024280662,-1.2053604565844231,1.7221318590124892,4.258368434136082,1.2690920713875333,left,True
25,3,5,right,right_14hz,14.0,9.0,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",-0.4969942331831375,0.7366798006566141,0.7366798006566141,-0.4969942331831375,1.2336740338397516,1.2819251039719919,-0.06484716196453195,right,True
26,3,6,right,right_14hz,14.0,9.0,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",-0.7241273756676375,1.475090201816302,1.475090201816302,-0.7241273756676375,2.1992175774839393,3.860844705384442,-0.12120732031312437,right,True
27,3,7,left,left_9hz,9.0,14.0,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",-1.2256341097272856,-4.37055104076292,-1.2256341097272856,-4.37055104076292,3.1449169310356346,2.7558030197737926,-3.6586867400237417,left,True
28,3,8,right,right_14hz,14.0,9.0,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",3.8571793110485904,-0.7240294066795054,-0.7240294066795054,3.8571793110485904,-4.581208717728096,2.3710433481245525,-1.1796975686387305,left,False
29,3,9,right,right_14hz,14.0,9.0,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",3.8679236036491123,0.44255364245986234,0.44255364245986234,3.8679236036491123,-3.42536996118925,5.359275078692544,1.8703746864150996,left,False
30,3,10,left,left_9hz,9.0,14.0,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",2.6399248652177048,-1.9533225988016762,2.6399248652177048,-1.9533225988016762,4.593247464019381,0.4221699737814758,-1.9542917515256326,left,True
31,4,1,left,left_9hz,9.0,14.0,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",-0.5150967527989159,-2.3730140441082814,-0.5150967527989159,-2.3730140441082814,1.8579172913093656,3.1565286598112983,-3.8338004824709393,left,True
32,4,2,right,right_14hz,14.0,9.0,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",2.6496636734732113,1.2799456753473804,1.2799456753473804,2.6496636734732113,-1.369717998125831,3.634782788140096,1.2311058093870828,left,False
33,4,3,left,left_9hz,9.0,14.0,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",1.2758842756333661,-1.0707681997432537,1.2758842756333661,-1.0707681997432537,2.3466524753766196,2.7241255456076376,-0.9049441921123851,left,True
34,4,4,right,right_14hz,14.0,9.0,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",1.4663482468353475,1.7754363736290644,1.7754363736290644,1.4663482468353475,0.3090881267937169,-0.7181386665814535,0.8673572500457631,right,True
35,4,5,right,right_14hz,14.0,9.0,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",1.9882897307649476,1.8769477751830006,1.8769477751830006,1.9882897307649476,-0.11134195558194704,4.351311963225762,-2.9602611646202353,left,False
36,4,6,left,left_9hz,9.0,14.0,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",4.987193366772323,-1.367290126778342,4.987193366772323,-1.367290126778342,6.354483493550665,1.621331799771192,1.0952478241015446,left,True
37,4,7,left,left_9hz,9.0,14.0,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",4.294347539295566,0.4419493286101349,4.294347539295566,0.4419493286101349,3.852398210685431,-0.9397024016473542,-0.9664731509532442,left,True
38,4,8,right,right_14hz,14.0,9.0,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",2.6851179938777725,4.656339446622531,4.656339446622531,2.6851179938777725,1.9712214527447585,4.677598990033046,-1.6274556108602054,right,True
39,4,9,left,left_9hz,9.0,14.0,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",2.0513689985640644,-0.07769764560668448,2.0513689985640644,-0.07769764560668448,2.129066644170749,2.0407237965221676,1.07521079114783,left,True
40,4,10,right,right_14hz,14.0,9.0,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",2.7686754609786606,1.2507241361996924,1.2507241361996924,2.7686754609786606,-1.5179513247789682,2.812243713402874,0.4516207264565889,left,False
