participant,session,date,block,trial_in_block,gaze_mode,attend_side,gaze_target_side,target_freq,catch_trial,dim_time_s,response_key,response_rt_s,hit,miss,false_alarm,anticipatory_response,stim_onset_global_s,photodiode_used,photodiode_trigger_side,photodiode_on_frames,photodiode_pulse_interval_s,expected_photodiode_pulses,dropped_frames_trial,n_frame_intervals_trial,max_frame_interval_ms_trial,mean_frame_interval_ms_trial,measured_refresh_hz
005,005,2026-04-30_13h59.55.909,3,10,overt_direct_gaze,left,left,9,0,,,,0,0,0,0,1056.309935,1,left,2,1.0,30,161,1799,21.566800,16.663406,60.007
005,005,2026-04-30_13h59.55.909,4,1,overt_direct_gaze,left,left,9,0,,,,0,0,0,0,1193.899771,1,left,2,1.0,30,136,1799,21.384500,16.665886,60.007
005,005,2026-04-30_13h59.55.909,4,2,overt_direct_gaze,right,right,14,0,,,,0,0,0,0,1226.931568,1,right,2,1.0,30,143,1799,21.527100,16.665983,60.007
005,005,2026-04-30_13h59.55.909,4,3,overt_direct_gaze,left,left,9,0,,,,0,0,0,0,1259.963514,1,left,2,1.0,30,146,1799,21.608600,16.665959,60.007
005,005,2026-04-30_13h59.55.909,4,4,overt_direct_gaze,right,right,14,0,,,,0,0,0,0,1293.012188,1,right,2,1.0,30,153,1799,21.486700,16.665925,60.007
005,005,2026-04-30_13h59.55.909,4,5,overt_direct_gaze,right,right,14,0,,,,0,0,0,0,1326.044033,1,right,2,1.0,30,152,1799,21.463100,16.665951,60.007
005,005,2026-04-30_13h59.55.909,4,6,overt_direct_gaze,left,left,9,0,,,,0,0,0,0,1359.092721,1,left,2,1.0,30,132,1799,21.454400,16.665929,60.007
005,005,2026-04-30_13h59.55.909,4,7,overt_direct_gaze,left,left,9,0,,,,0,0,0,0,1392.124665,1,left,2,1.0,30,156,1799,21.417200,16.666104,60.007
005,005,2026-04-30_13h59.55.909,4,8,overt_direct_gaze,right,right,14,0,,,,0,0,0,0,1425.156847,1,right,2,1.0,30,139,1799,21.604300,16.665904,60.007
005,005,2026-04-30_13h59.55.909,4,9,overt_direct_gaze,left,left,9,0,,,,0,0,0,0,1458.188688,1,left,2,1.0,30,150,1799,21.604900,16.665890,60.007
005,005,2026-04-30_13h59.55.909,4,10,overt_direct_gaze,right,right,14,0,,,,0,0,0,0,1491.237280,1,right,2,1.0,30,10,1799,28.279500,16.666152,60.007
