attend_side,n_trials,mean_rho9,mean_rho14,mean_target_rho,mean_nontarget_rho,mean_signed_target_margin,min_signed_target_margin,max_signed_target_margin,accuracy
left,20,0.39926481696017857,0.07424749204770219,0.39926481696017857,0.07424749204770219,0.3250173249124763,0.1288720390722617,0.5021676345984429,1.0
right,20,0.18074177510655598,0.2873987714278453,0.2873987714278453,0.18074177510655598,0.1066569963212893,0.022108749205379113,0.2464106881830731,1.0
