x_true_left_in_pred_left,correct,accuracy,probability
0,0,0.0,7.254444551924844e-12
1,2,0.05,2.9017778207699377e-09
2,4,0.1,2.6188544832448686e-07
3,6,0.15,9.427876139681528e-06
4,8,0.2,0.0001702910127729976
5,10,0.25,0.0017437799707954952
6,12,0.3,0.010898624817471846
7,14,0.35,0.043594499269887385
8,16,0.4,0.11511672463454636
9,18,0.45,0.20465195490586022
10,20,0.5,0.24762886543609086
11,22,0.55,0.20465195490586022
12,24,0.6,0.11511672463454636
13,26,0.65,0.043594499269887385
14,28,0.7,0.010898624817471846
15,30,0.75,0.0017437799707954952
16,32,0.8,0.0001702910127729976
17,34,0.85,9.427876139681528e-06
18,36,0.9,2.6188544832448686e-07
19,38,0.95,2.9017778207699377e-09
20,40,1.0,7.254444551924844e-12
