channel_index_1based,channel_name,std_uV,robust_std_uV,robust_std_ratio_to_median,ptp_0p5_99p5_uV,abs95_uV,abs99_uV,corr_with_global_median,flags,auto_status
1,FP1,15.486401667654583,0.9357198920309543,0.0036847026575084255,71.29807288169806,2.426022281497716,29.869819438606527,0.032833011676312585,very_low_robust_std,review
2,FPz,32.63978067179947,1.5052027532637118,0.0059272274024247465,117.8335814094535,7.1508333317935415,52.80437682352991,0.03432192355655873,very_low_robust_std,review
3,FP2,19.444941809525538,1.726305876213312,0.006797893155770571,40.264894971847326,5.406332039833068,20.149026567935962,0.011082860547882567,very_low_robust_std,review
4,AF7,14.846732664307996,1.9282679578900337,0.007593184808120665,60.7660208225246,4.060957902669901,27.479853383302757,0.01993568782597721,very_low_robust_std,review
5,AF3,11.187713131131066,2.314369193552434,0.009113584514516423,22.163648014068556,4.278073976933954,11.163077687472228,-0.0002978179568417952,very_low_robust_std,review
6,AFz,14.139663728196727,0.7919462170422077,0.0031185468593657242,30.06414656639094,1.9717231440357852,13.229772662036249,0.02498404953171709,very_low_robust_std,review
7,AF4,16.175794762545117,1.1176945702314376,0.004401287381286404,67.85072646141039,3.232807228900489,30.692206003330778,0.03936992467246699,very_low_robust_std,review
8,AF8,123.91176622493713,1.510803589940071,0.0059492825259306265,117.69903358459455,6.567160166241193,54.59237374160446,0.012667709345453288,very_low_robust_std,review
9,F3,16.403245093364237,1.4783580264508724,0.0058215175237850345,50.396306648253685,3.218980246875432,24.374458815418436,0.03305036433145048,very_low_robust_std,review
10,F1,27.07716692972171,0.884124355010502,0.0034815283806827,47.70696518898009,4.691979713551698,23.44952970588588,0.020079117123913814,very_low_robust_std,review
11,Fz,28.670787976357335,1.3102146610708907,0.005159398111197476,151.00617353438992,4.134906319808213,65.34414042076119,0.04766842795001705,very_low_robust_std,review
12,F2,39.09899765839343,0.5983871619192883,0.0023563448682888395,50.400607576370234,4.48591063665223,23.278126658611075,0.014795099212855767,very_low_robust_std,review
