channel_index_1based,channel_name,std_uV,robust_std_uV,robust_std_ratio_to_median,ptp_0p5_99p5_uV,abs95_uV,abs99_uV,corr_with_global_median,flags,auto_status
13,F4,14.933884502160046,1.012766822973825,0.003988100109690271,56.07363111495854,3.484429384116065,24.4489769163356,0.03147213835116236,very_low_robust_std,review
14,FC1,17.200820007744195,1.6648217161059378,0.006555779196163927,36.96366647720307,4.234320082323384,18.568137059552896,0.016126818043290744,very_low_robust_std,review
15,FCz,10.793010126689026,1.3661629183888435,0.005379712645683835,55.83033026695138,3.494112617708724,25.260824138857625,0.044839221686948455,very_low_robust_std,review
16,FC2,7.435852446937527,1.402507423359761,0.005522831003210146,45.40056174278196,3.6214622020488565,22.671653959755986,0.03898852846441035,very_low_robust_std,review
17,CPz,298.8523765990908,326.3537053710937,1.285124293829601,1142.5962719726558,534.3542724609374,577.263427734375,0.8243636782372902,,good
18,CP1,410.44724163800936,486.0662112304687,1.9140444437476078,1421.2643603515626,764.0465332031248,830.6984667968751,0.8296976873213969,,good
19,C1,25266.594407395914,10667.275147265624,42.005879556745555,245490.57957031112,32864.03001708984,126333.67507812534,-0.04312463274979988,very_high_robust_std;very_large_peak_to_peak;large_99pct_amplitude,bad
20,FC3,221.36857808320323,250.44538168945311,0.9862104795794085,912.2828234863277,396.06938476562493,516.4526171875001,0.8408658536634154,,good
21,C3,567.6365205815819,523.7195819091796,2.0623168874410527,1909.0783898925777,1220.3113891601556,1338.9203723144535,0.8014626720638367,large_99pct_amplitude,review
22,CP3,124.65933722576273,131.04287314453126,0.5160241083206775,525.405209960938,225.51030273437493,262.78253906250006,0.7746427118115705,,good
23,CP5,375.9429132780812,394.31079023437496,1.5527275085574275,1445.048796386719,704.0577148437495,824.71255859375,0.846612786975547,,good
24,C5,146.45387533137213,164.3992013671875,0.6473755440371673,636.1772705078129,276.76279296874986,338.8832617187502,0.5843123592149222,,good
25,FC5,439.19190848010334,458.543276953125,1.8056639017308702,1869.3874755859379,848.0791992187499,993.8630273437504,-0.623214665204713,,good
26,F5,261.8666406498391,268.22935798473355,1.0562406940424767,1057.5971151733393,507.24058380126934,593.3052462768555,0.8522640022043365,,good
27,F7,312.74199555654394,309.97198886718746,1.2206159352379296,1193.6551708984334,591.0479003906249,677.156650390625,0.7713145113814164,,good
28,FT7,569.0687516592542,537.6271010742187,2.1170822860001692,2198.0301953125,991.0488769531249,1100.573466796875,0.784033682933961,large_99pct_amplitude,review
29,T7,548.3060551748221,698.0874222656249,2.7489472030057716,2069.1247460937484,1076.7099609375,1287.0508007812507,-0.6396768701160519,large_99pct_amplitude,review
30,TP7,230.68387125036887,248.1023958984375,0.9769842078669182,963.3452246093766,469.515625,572.646484375,-0.3456102809625535,,good
31,TP9,253.65475720685743,271.3335361816406,1.0684644094395037,1132.8701977539058,536.4592773437492,705.024658203125,-0.5033631027951458,,good
32,FT9,413.0308530412595,513.497930859375,2.022065798297708,1482.3093945312503,759.61328125,825.2254101562501,0.7709383365144963,,good
33,Pz,682.8787511591177,850.4028544921874,3.348738959795947,2407.2281640625006,1194.6043457031246,1282.420634765625,0.799851142547106,large_99pct_amplitude,review
34,CP2,373.10128840966524,374.54399677734375,1.4748893039816358,1476.4495556640632,689.2285644531249,780.5649023437502,0.8491048100819972,,good
35,C2,275.57149667625555,230.0929322753906,0.9060660634122666,1015.6079833984368,649.4207519531242,749.2749707031251,0.8100732897122316,,good
36,FC4,339.55749119132173,178.806772265625,0.7041100596008886,1191.4377246093754,821.0546875,886.6277539062501,-0.36098843132918135,,good
37,C4,184.7130641086752,222.207570703125,0.87501487706025,681.8643066406257,324.2685546875,365.8447265625,0.8526695336705845,,good
38,CP4,538.242660547804,676.157176611328,2.6625896988740467,1933.952629394531,913.2140136718748,991.966796875,0.8051718085513827,,good
39,CP6,232.70436789455448,285.3735337646484,1.123751485033499,866.7070196533202,391.5685729980468,454.6700329589844,-0.3811086303466565,,good
40,C6,249.55377738872517,271.35416806640626,1.0685456542236242,1002.7334960937496,466.33837890625,563.1548974609375,0.8597854388035614,,good
41,FC6,102.96135468047738,107.58584539489746,0.423654401079843,487.6347428703297,196.72087059020996,241.36588024139428,0.7749250477731646,,good
42,F6,239.3334353327804,209.74084482421873,0.8259230725922145,1059.033061523438,540.3062011718749,680.4534375000001,0.7882321642013197,,good
43,F8,1358.0646948669205,1613.5538302734374,6.353895152893418,4313.218369140624,2377.114746093749,2515.87953125,0.7797703828863833,very_high_robust_std;large_99pct_amplitude,review
44,FT8,400.47851887007147,407.1575771484375,1.603315927469788,1528.386655273438,817.3330566406249,924.3211132812501,0.7659418762330514,,good
45,T8,683.2145947094224,828.5707007812499,3.262767724725567,2293.056513671876,1309.0568359374997,1409.33087890625,0.7308154810983973,large_99pct_amplitude,review
46,TP8,337.65472959957015,344.51370031127925,1.356635204505237,1385.427366485594,638.8422519683837,783.2537622070313,0.8321034323874049,,good
47,TP10,519.3234941579774,611.9934628417968,2.4099241216476726,1925.0241918945303,929.103149414062,1060.4913037109377,0.7992094594996036,large_99pct_amplitude,review
48,FT10,1102.017014892897,1270.9231061645507,5.00467478211788,3973.8754827880857,2118.698632812499,2401.9053912353515,0.7738685383496909,very_high_robust_std;large_99pct_amplitude,review
49,P7,974.8613420865247,1286.3263464843749,5.06533007118896,3214.3424707031263,1546.2334960937499,1651.9600585937503,-0.6835451588957867,very_high_robust_std;large_99pct_amplitude,review
50,P5,362.6760035493448,419.29781249999996,1.651122068862794,1364.6129003906244,648.771484375,739.0547070312507,0.8478614402458275,,good
51,PO7,339.4952722013926,369.81893320312497,1.456282823070953,1262.2055273437509,577.3603515625,633.4830468750001,0.806209440317556,,good
52,P3,701.7500212027586,749.6352814453124,2.9519337327630994,2564.8394458007806,1443.8208251953124,1565.592583007813,0.7994848224134383,large_99pct_amplitude,review
53,PO3,211.4231238905869,257.4490016601562,1.0137895204205913,859.595183105469,350.164794921875,433.4091601562501,-0.4136501760124579,,good
54,O1,158.74963083719692,153.2337320800781,0.6034078623570822,723.3218579101558,324.59477539062493,366.56143554687503,0.8040562934937829,,good
55,Oz,213.59112925886296,257.45117343749996,1.0137980725031304,902.6442773437484,375.955078125,468.10281250000025,-0.08474718628718143,,good
56,P1,423.21804614149005,402.79868428344724,1.5861513633088578,1620.9546608257288,896.9778991699218,1010.6393432617188,0.8296415809482337,large_99pct_amplitude,review
57,POz,112.3900518718782,111.05455839843749,0.43731359132590775,523.7574316406244,212.46005859374986,262.9478906250001,0.1608090701378752,,good
58,P2,108.29992313133371,112.86147714843749,0.4444289239983551,462.92221191406315,202.5234375,233.47696289062503,0.7036527067730449,,good
59,PO4,100.02007337393808,99.10471552734374,0.390257182502154,436.42203613281254,183.70461425781247,224.99169921875,0.717545871842814,,good
60,O2,350.5706142520688,406.4401666992187,1.6004908895377383,1316.514057617187,618.8335937499999,681.2376171875001,0.8156476648614385,,good
61,P4,168.92511355856155,173.30638417968748,0.682450485223783,812.7867578125006,326.9181640624997,444.05984375000025,-0.23249259983691226,,good
62,PO8,189.61662426945455,168.92265161132812,0.665188106618813,832.38273071289,396.2443969726562,489.74320068359384,0.8126531896724065,,good
63,P6,400.8034101578619,416.67140976562496,1.640779750378964,1463.4053222656257,757.4600585937499,798.2314453125,-0.5569483115706677,,good
64,P8,93.97866157192954,101.17695307617187,0.3984172945914492,395.3261767578124,172.9131225585937,201.40090332031258,0.45846112537495454,,good
