trial_index_1based,block,trial_in_block,attend_side,gaze_target_side,target_freq,expected_pulses,n_events_assigned,unique_type_ids,unique_mapped_sides,n_side_matches,all_side_match,first_trigger_sample,last_trigger_sample,stim_start_sample,stim_end_sample,stim_start_time_s,stim_end_time_s,trigger_span_first_to_last_s,mean_inter_pulse_interval_s,min_inter_pulse_interval_s,max_inter_pulse_interval_s
1,1,1,left,left,9.0,30,30,15,left,30,True,46877,61725,46877,62237,91.556640625,121.556640625,29.0,1.0,1.0,1.0
2,1,2,left,left,9.0,30,30,15,left,30,True,63798,78646,63798,79158,124.60546875,154.60546875,29.0,1.0,1.0,1.0
3,1,3,left,left,9.0,30,30,15,left,30,True,80711,95576,80711,96071,157.638671875,187.638671875,29.033203125,1.0011449353448276,1.0,1.017578125
4,1,4,right,right,14.0,30,30,16,right,30,True,97652,112500,97652,113012,190.7265625,220.7265625,29.0,1.0,1.0,1.0
5,1,5,right,right,14.0,30,30,16,right,30,True,114574,129421,114574,129934,223.77734375,253.77734375,28.998046875,0.999932650862069,0.998046875,1.001953125
6,1,6,right,right,14.0,30,30,16,right,30,True,131486,146334,131486,146846,256.80859375,286.80859375,29.0,1.0,1.0,1.0
7,1,7,right,right,14.0,30,30,16,right,30,True,148390,163238,148390,163750,289.82421875,319.82421875,29.0,1.0,1.0,1.0
8,1,8,left,left,9.0,30,30,15,left,30,True,165300,180165,165300,180660,322.8515625,352.8515625,29.033203125,1.0011449353448276,1.0,1.033203125
9,1,9,right,right,14.0,30,30,16,right,30,True,182233,197081,182233,197593,355.923828125,385.923828125,29.0,1.0,1.0,1.0
10,1,10,left,left,9.0,30,30,15,left,30,True,199151,213999,199151,214511,388.966796875,418.966796875,29.0,1.0,1.0,1.0
11,2,1,right,right,14.0,30,30,16,right,30,True,239260,254099,239260,254620,467.3046875,497.3046875,28.982421875,0.9993938577586207,0.982421875,1.0
12,2,2,right,right,14.0,30,30,16,right,30,True,256164,271012,256164,271524,500.3203125,530.3203125,29.0,1.0,1.0,1.0
13,2,3,right,right,14.0,30,30,16,right,30,True,273077,287924,273077,288437,533.353515625,563.353515625,28.998046875,0.999932650862069,0.998046875,1.0
14,2,4,right,right,14.0,30,30,16,right,30,True,289989,304837,289989,305349,566.384765625,596.384765625,29.0,1.0,1.0,1.0
15,2,5,left,left,9.0,30,30,15,left,30,True,306908,321756,306908,322268,599.4296875,629.4296875,29.0,1.0,1.0,1.0
16,2,6,left,left,9.0,30,30,15,left,30,True,323821,338668,323821,339181,632.462890625,662.462890625,28.998046875,0.999932650862069,0.998046875,1.0
17,2,7,left,left,9.0,30,30,15,left,30,True,340742,355589,340742,356102,665.51171875,695.51171875,28.998046875,0.999932650862069,0.998046875,1.0
18,2,8,right,right,14.0,30,30,16,right,30,True,357657,372513,357657,373017,698.548828125,728.548828125,29.015625,1.0005387931034482,0.984375,1.033203125
19,2,9,left,left,9.0,30,30,15,left,30,True,374576,389423,374576,389936,731.59375,761.59375,28.998046875,0.999932650862069,0.998046875,1.0
20,2,10,left,left,9.0,30,30,15,left,30,True,391497,406345,391497,406857,764.642578125,794.642578125,29.0,1.0,1.0,1.0
21,3,1,left,left,9.0,30,30,15,left,30,True,430903,445751,430903,446263,841.607421875,871.607421875,29.0,1.0,1.0,1.0
22,3,2,left,left,9.0,30,30,15,left,30,True,447807,462655,447807,463167,874.623046875,904.623046875,29.0,1.0,1.0,1.0
23,3,3,right,right,14.0,30,30,16,right,30,True,464714,479562,464714,480074,907.64453125,937.64453125,29.0,1.0,1.0,1.0
24,3,4,left,left,9.0,30,30,15,left,30,True,481624,496472,481624,496984,940.671875,970.671875,29.0,1.0,1.0,1.0
25,3,5,right,right,14.0,30,30,16,right,30,True,498548,513396,498548,513908,973.7265625,1003.7265625,29.0,1.0,1.0,1.0
26,3,6,right,right,14.0,30,30,16,right,30,True,515461,530308,515461,530821,1006.759765625,1036.759765625,28.998046875,0.999932650862069,0.998046875,1.0
27,3,7,left,left,9.0,30,30,15,left,30,True,532379,547227,532379,547739,1039.802734375,1069.802734375,29.0,1.0,1.0,1.0
28,3,8,right,right,14.0,30,30,16,right,30,True,549295,564142,549295,564655,1072.841796875,1102.841796875,28.998046875,0.999932650862069,0.998046875,1.0
29,3,9,right,right,14.0,30,30,16,right,30,True,566207,581055,566207,581567,1105.873046875,1135.873046875,29.0,1.0,1.0,1.0
30,3,10,left,left,9.0,30,30,15,left,30,True,583118,597965,583118,598478,1138.90234375,1168.90234375,28.998046875,0.999932650862069,0.998046875,1.0
31,4,1,left,left,9.0,30,30,15,left,30,True,619525,634373,619525,634885,1210.009765625,1240.009765625,29.0,1.0,1.0,1.0
32,4,2,right,right,14.0,30,30,16,right,30,True,636440,651288,636440,651800,1243.046875,1273.046875,29.0,1.0,1.0,1.0
33,4,3,left,left,9.0,30,30,15,left,30,True,653351,668198,653351,668711,1276.076171875,1306.076171875,28.998046875,0.999932650862069,0.998046875,1.0
34,4,4,right,right,14.0,30,30,16,right,30,True,670274,685122,670274,685634,1309.12890625,1339.12890625,29.0,1.0,1.0,1.0
35,4,5,right,right,14.0,30,30,16,right,30,True,687187,702035,687187,702547,1342.162109375,1372.162109375,29.0,1.0,1.0,1.0
36,4,6,left,left,9.0,30,30,15,left,30,True,704106,718953,704106,719466,1375.20703125,1405.20703125,28.998046875,0.999932650862069,0.998046875,1.0
37,4,7,left,left,9.0,30,30,15,left,30,True,721018,735866,721018,736378,1408.23828125,1438.23828125,29.0,1.0,1.0,1.0
38,4,8,right,right,14.0,30,30,16,right,30,True,737934,752781,737934,753294,1441.27734375,1471.27734375,28.998046875,0.999932650862069,0.998046875,1.0
39,4,9,left,left,9.0,30,30,15,left,30,True,754844,769692,754844,770204,1474.3046875,1504.3046875,29.0,1.0,1.0,1.0
40,4,10,right,right,14.0,30,30,16,right,30,True,771768,786615,771768,787128,1507.359375,1537.359375,28.998046875,0.999932650862069,0.998046875,1.0
