channel_name,frequency_checked_hz,attend_side,is_target_frequency_for_trial,is_occipital_channel,qc_status,mean_snr_db,median_snr_db,n
F4,9.0,right,False,False,review,-2.068935657665226,-1.4879078512582546,20
F4,14.0,left,False,False,review,-2.0373410797043667,-2.143685652145163,20
F4,14.0,right,True,False,review,-1.8809242275185494,-1.4015217037306844,20
F5,9.0,left,True,False,good,-1.0739928453545584,-0.9468389541420954,20
F5,9.0,right,False,False,good,-0.543494233330226,-0.7733790475712179,20
F5,14.0,left,False,False,good,-1.5790165827356335,-1.0465047619094658,20
F5,14.0,right,True,False,good,0.7119018541808734,-0.25876549721112574,20
F6,9.0,left,True,False,good,-0.6566334446047761,-0.8088707175479501,20
F6,9.0,right,False,False,good,-1.2645676164769621,-0.7842581151652159,20
F6,14.0,left,False,False,good,-0.5987448253943942,-0.13188237410754142,20
F6,14.0,right,True,False,good,0.49692445324064394,0.4882791905939745,20
F7,9.0,left,True,False,good,-0.912289817155542,-0.4837518933194431,20
F7,9.0,right,False,False,good,-0.7137871308864294,-1.2654963124427177,20
F7,14.0,left,False,False,good,-1.6038325425631086,-1.2440795797256623,20
F7,14.0,right,True,False,good,1.2708824644452876,1.0357031972306396,20
F8,9.0,left,True,False,review,-0.4448946664840599,-0.12719108137804144,20
F8,9.0,right,False,False,review,-1.60106518629192,-1.3309552376536278,20
F8,14.0,left,False,False,review,-0.49418648237275553,-0.13215321947461095,20
F8,14.0,right,True,False,review,1.8114022302752883,1.929278248393676,20
FC1,9.0,left,True,False,review,-1.9596731689434943,-2.263641899079105,20
FC1,9.0,right,False,False,review,-1.5466023750271232,-1.9528410387895336,20
FC1,14.0,left,False,False,review,-2.2799761572470283,-1.2508812436539425,20
FC1,14.0,right,True,False,review,-0.8441899651101279,-0.6161875302337051,20
FC2,9.0,left,True,False,review,-2.1920066560502307,-2.8255622139912555,20
FC2,9.0,right,False,False,review,-2.346735941766021,-1.9026210537683839,20
FC2,14.0,left,False,False,review,-3.72138948288382,-3.269045426855364,20
FC2,14.0,right,True,False,review,-2.469556325734266,-2.777455272616364,20
FC3,9.0,left,True,False,good,-1.3759991531821132,-1.5325935997296853,20
FC3,9.0,right,False,False,good,-0.22442786691337707,-0.20130301102462533,20
FC3,14.0,left,False,False,good,-1.4008522501746135,-1.0756941487238882,20
FC3,14.0,right,True,False,good,-0.35800768506986397,-1.192169517432193,20
FC4,9.0,left,True,False,good,-1.2694942640385098,-1.2788840143630278,20
FC4,9.0,right,False,False,good,-1.5194378630126373,-1.425565302146028,20
FC4,14.0,left,False,False,good,-1.121952400474981,-1.188762032569793,20
FC4,14.0,right,True,False,good,-0.18790835445414256,0.04830730498487639,20
FC5,9.0,left,True,False,good,-0.41727200652313534,-0.9290215960815107,20
FC5,9.0,right,False,False,good,-0.17739937701852013,-0.19197347289716046,20
FC5,14.0,left,False,False,good,-1.388710790383636,-1.1910216287405941,20
FC5,14.0,right,True,False,good,0.912421937330449,0.39660246341441235,20
FC6,9.0,left,True,False,good,-0.43999312040429067,-0.7002423553458279,20
FC6,9.0,right,False,False,good,-1.4817923836519133,-1.5185569658843634,20
FC6,14.0,left,False,False,good,-0.6412372823318846,0.15471684061247154,20
FC6,14.0,right,True,False,good,0.3534518008011508,0.29488376155484347,20
FCz,9.0,left,True,False,review,-2.2713754946580775,-1.8609279330386432,20
FCz,9.0,right,False,False,review,-2.2271441769069567,-1.8759385500223258,20
FCz,14.0,left,False,False,review,-1.6433142061717014,-2.0025576570310353,20
FCz,14.0,right,True,False,review,-1.2148423358341165,-1.6456409129303373,20
FP1,9.0,left,True,False,review,-1.4851259879078444,-1.318594781702847,20
FP1,9.0,right,False,False,review,-1.4907748226175914,-0.9282187065714598,20
FP1,14.0,left,False,False,review,-2.7341555017911796,-3.7419764171707963,20
FP1,14.0,right,True,False,review,-1.3804526002079762,-2.235594786009154,20
FP2,9.0,left,True,False,review,-2.5801238610860535,-1.5335060522642912,20
FP2,9.0,right,False,False,review,-4.291189022761388,-3.1492453253502903,20
FP2,14.0,left,False,False,review,-0.7186550935740483,-1.914997803180152,20
FP2,14.0,right,True,False,review,0.5739165164700541,-1.6357146528081916,20
FPz,9.0,left,True,False,review,-6.789094945936493,-7.060627996610096,20
FPz,9.0,right,False,False,review,-8.407710764916105,-8.91666272435161,20
FPz,14.0,left,False,False,review,-0.003699469078954509,-0.18536509740915216,20
FPz,14.0,right,True,False,review,1.3550639161266669,0.2820784776754487,20
FT10,9.0,left,True,False,review,0.4871692583946154,0.29250200165482093,20
FT10,9.0,right,False,False,review,-1.689518503960569,-0.8245012200476056,20
FT10,14.0,left,False,False,review,-0.6442632930220128,-0.3954117245166197,20
FT10,14.0,right,True,False,review,2.557207731073894,2.0948432015311536,20
FT7,9.0,left,True,False,review,-0.38604005350393267,-0.4950305054694375,20
