merge_order,file_name,recording_date_begin,size_mb,n_samples,duration_s,n_triggers,trigger_typeids
1,Subject12026.04.30_13.59.13.hdf5,2026-04-30T11:59:13.2769277Z,152.385,614420,1200.0390625,900,"15,16"
2,Subject1-12026.04.30_14.20.19.hdf5,2026-04-30T12:20:19.8997217Z,46.13,181240,353.984375,300,"15,16"
